title,partner,rating,enrollment,subject,skills,duration,level,new_career,promotion
The Korean Economic Development,Yonsei University,"4.7
stars",Missing,Social Sciences,[],Missing,Approx. 7 hours to complete,Missing,Missing
The Power of Markets I: The Basics of Supply and Demand and Consumer Behavior,University of Rochester,"4.7
stars",Missing,Business,[],Missing,Approx. 8 hours to complete,Missing,Missing
Introducción a las Finanzas Corporativas,University of Pennsylvania,"4.6
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Creativity Toolkit II: Creative Collaboration,University of Illinois at Urbana-Champaign,"4.7
stars",Missing,Business,"['Social Skills', 'People Management', 'Working with Others', 'Storytelling', 'Knowledge of Human Behavior']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Understanding economic policymaking,IE Business School,"4.8
stars",Missing,Social Sciences,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Philosophy,The University of Edinburgh,"4.6
stars",Missing,Arts and Humanities,[],Missing,Approx. 16 hours to complete,Missing,Missing
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,"4.9
stars",Missing,Computer Science,"['Logic Gate', 'Computer Architecture', 'Assembly Languages', 'Hardware Description Language (HDL)']",Missing,Approx. 44 hours to complete,Missing,Missing
Exploring Quantum Physics,"University of Maryland, College Park",Missing,Missing,Physical Science and Engineering,[],Missing,Approx. 31 hours to complete,Missing,Missing
Entrepreneurship II: Preparing for Launch,University of Illinois at Urbana-Champaign,"4.8
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
English for Career Development,University of Pennsylvania,"4.8
stars",Missing,Language Learning,"['Communication', 'English Language', 'Career Development', 'Writing']",Missing,Approx. 40 hours to complete,Missing,Missing
Interpersonal Communication for Engineering Leaders,Rice University,"4.7
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Finance for Non-Financial Professionals,"University of California, Irvine","4.5
stars",Missing,Business,"['Accounting', 'Financial Ratio', 'Financial Statement', 'Finance']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
America's Unwritten Constitution,Yale University,"4.8
stars",Missing,Social Sciences,[],Missing,Approx. 18 hours to complete,Missing,Missing
Epigenetic Control of Gene Expression,The University of Melbourne,"4.8
stars",Missing,Health,"['Cancer', 'Molecular Biology', 'Cancer Epigenetics', 'Dna Methylation']",Missing,Approx. 18 hours to complete,Missing,Missing
Pricing Strategy,IE Business School,"4.6
stars",Missing,Business,"['Pricing', 'Psychology', 'Price Discrimination', 'Pricing Strategies']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Matrix Factorization and Advanced Techniques,University of Minnesota,"4.3
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Agile Planning for Software Products,University of Alberta,"4.7
stars",Missing,Computer Science,"['Software Development', 'Agile Management', 'Program Evaluation And Review Technique (PERT)', 'Agile Software Development']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to HTML5,University of Michigan,"4.7
stars",Missing,Computer Science,"['Web Design', 'Web Accessibility', 'Html', 'Html5']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences,The University of Edinburgh,"4.6
stars",Missing,Arts and Humanities,[],Missing,Approx. 11 hours to complete,Missing,Missing
Machine Learning: Clustering & Retrieval,University of Washington,"4.6
stars",Missing,Data Science,"['Data Clustering Algorithms', 'K-Means Clustering', 'Machine Learning', 'K-D Tree']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
International Business II,University of New Mexico,"4.6
stars",Missing,Business,"['International Finance', 'Management', 'Investment', 'Entrepreneurship']",Missing,Approx. 5 hours to complete,Missing,Missing
Ethical Social Media,The University of Sydney,"4.4
stars",Missing,Social Sciences,[],Missing,Approx. 12 hours to complete,Missing,Missing
The Social Context of Mental Health and Illness,University of Toronto,"4.6
stars",Missing,Social Sciences,[],Missing,Approx. 16 hours to complete,Missing,Missing
3D Printing Capstone,University of Illinois at Urbana-Champaign,Missing,Missing,Business,[],Missing,Approx. 7 hours to complete,Missing,Missing
General Chemistry: Concept Development and Application,Rice University,"4.6
stars",Missing,Physical Science and Engineering,[],Missing,"English
Subtitles: English",Missing,Missing
Moral Foundations of Politics,Yale University,"4.8
stars",Missing,Social Sciences,[],Missing,Approx. 44 hours to complete,Missing,Missing
Economic Growth and Distributive Justice Part I -The Role of the State,Tel Aviv University,"4.7
stars",Missing,Social Sciences,[],Missing,Approx. 6 hours to complete,Missing,Missing
Strategy Implementation,Copenhagen Business School,"4.6
stars",Missing,Business,"['Strategic Management', 'Strategy Implementation', 'Performance Management', 'Strategic Planning']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Guitar for Beginners,Berklee College of Music,"4.8
stars",Missing,Arts and Humanities,"['Tablature', 'Music notation', 'Guitar scales', 'Guitar chords', 'Guitar']",Missing,Approx. 22 hours to complete,Missing,Missing
TCP/IP and Advanced Topics,University of Colorado System,"4.6
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Research Data Management and Sharing,Missing,"4.6
stars",Missing,Data Science,"['Data Management Plan', 'Research Data Archiving', 'Metadata', 'Data Management']",Missing,Approx. 16 hours to complete,Missing,Missing
Effective Communication in the Globalised Workplace - The Capstone,National University of Singapore,Missing,Missing,Personal Development,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Classical Sociological Theory,University of Amsterdam,"4.8
stars",Missing,Social Sciences,[],Missing,Approx. 14 hours to complete,Missing,Missing
Giving Helpful Feedback,University of Colorado Boulder,"4.7
stars",Missing,Business,"['Communication', 'Staff Management', 'Coaching', 'Performance Management']",Missing,Approx. 5 hours to complete,Missing,Missing
On Strategy : What Managers Can Learn from Philosophy - PART 1,CentraleSupélec,"4.7
stars",Missing,Business,"['Philosophy', 'Change Management', 'Innovation', 'Strategic Planning']",Missing,Approx. 19 hours to complete,Missing,Missing
Intercultural Communication and Conflict Resolution,"University of California, Irvine","4.3
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Managerial Accounting: Tools for Facilitating and Guiding Business Decisions,University of Illinois at Urbana-Champaign,"4.7
stars",Missing,Business,"['Accounting', 'Cost', 'Investment', 'Analysis Of Variance (ANOVA)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction To Swift Programming,University of Toronto,"3.9
stars",Missing,Computer Science,"['iOS App Development', 'Syntax', 'Computer Programming', 'Swift (Programming Language)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Beneficios y características de las redes sociales más significativas,Tecnológico de Monterrey,"4.3
stars",Missing,Business,"['Social Network', 'Social Media', 'Plan', 'Digital Branding']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Challenges of Agribusiness Management,Università Bocconi,"4.4
stars",Missing,Business,[],Missing,Approx. 6 hours to complete,Missing,Missing
Understanding Research Methods,Missing,"4.5
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 10 hours to complete,Missing,Missing
Recommender Systems: Evaluation and Metrics,University of Minnesota,"4.4
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Composición de canciones,Missing,"4.7
stars",Missing,Arts and Humanities,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
iOS App Development Basics,University of Toronto,"4.2
stars",Missing,Computer Science,"['iOS App Development', 'Computer Programming', 'Xcode', 'Swift (Programming Language)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.4
stars",Missing,Business,"['Financial Management', 'Funding Requirement Analysis', 'Funding Applications', 'Strategic Financial Planning']",Missing,"English
Subtitles: English",Missing,Missing
企业金融概论（中文版）,University of Pennsylvania,"4.6
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Big Data,University of California San Diego,"4.6
stars",Missing,Data Science,"['Big Data', 'Apache Hadoop', 'Mapreduce', 'Cloudera']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to the Arctic: Climate,University of Alberta,"4.5
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 7 hours to complete,Missing,Missing
Quantum Optics 2 - Two photons and more,École Polytechnique,"4.9
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 13 hours to complete,Missing,Missing
Seeing Through Photographs,The Museum of Modern Art,"4.8
stars",Missing,Arts and Humanities,"['Art History', 'Art', 'History', 'Photography']",Missing,Approx. 15 hours to complete,Missing,Missing
Influencing People,University of Michigan,"4.7
stars",Missing,Business,"['Leadership', 'Management', 'Social Skills', 'Influencer Marketing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Ubiquitous Learning and Instructional Technologies,University of Illinois at Urbana-Champaign,Missing,Missing,Social Sciences,[],Missing,Approx. 20 hours to complete,Missing,Missing
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,"4.8
stars",Missing,Health,[],Missing,Approx. 17 hours to complete,Missing,Missing
Managing Employee Performance,University of Minnesota,"4.7
stars",Missing,Business,"['Performance Appraisal', 'Human Resources (HR)', 'Performance Management', 'Organizational Culture']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Essentials of Entrepreneurship: Thinking & Action,"University of California, Irvine","4.5
stars",Missing,Business,"['Strategic Management', 'Management', 'Marketing', 'Entrepreneurship']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Managing Big Data with MySQL,Duke University,"4.7
stars",Missing,Data Science,"['Data Analysis', 'MySQL', 'Teradata', 'SQL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
How to Write and Publish a Scientific Paper (Project-Centered Course),École Polytechnique,"4.5
stars",Missing,Social Sciences,[],Missing,Approx. 9 hours to complete,Missing,Missing
Data Analysis and Reporting in SAS Visual Analytics,SAS,"4.9
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Creative Writing: The Craft of Style,Wesleyan University,"4.7
stars",Missing,Arts and Humanities,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Probability Theory, Statistics and Exploratory Data Analysis",National Research University Higher School of Economics,"4.7
stars",Missing,Math and Logic,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Career planning: Your career, your life",Macquarie University,"4.5
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Rethinking International Tax Law,Universiteit Leiden,"4.9
stars",Missing,Social Sciences,"['Tax Planning', 'International Taxation', 'Transfer Pricing', 'Base Erosion And Profit Shifting (BEPS)']",Missing,Approx. 40 hours to complete,Missing,Missing
Service Transformed: Lessons in U.S. Veteran Centered Care,University of Michigan,"4.3
stars",Missing,Health,[],Missing,Approx. 35 hours to complete,Missing,Missing
社会调查与研究方法 （上）Methodologies in Social Research (Part I),Peking University,"4.8
stars",Missing,Social Sciences,[],Missing,Approx. 22 hours to complete,Missing,Missing
Animal Behaviour and Welfare,The University of Edinburgh,"4.8
stars",Missing,Health,"['Animal', 'Animal Behavior', 'Veterinary', 'Dog']",Missing,Approx. 10 hours to complete,Missing,Missing
中国哲学经典著作导读,Xi'an Jiaotong University,"4.4
stars",Missing,Arts and Humanities,[],Missing,Approx. 18 hours to complete,Missing,Missing
Interaction Design Capstone Project,University of California San Diego,"4.6
stars",Missing,Computer Science,"['Usability Testing', 'User Research', 'User Experience (UX)', 'User Interface']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Foundations for Assisting in Home Care,The State University of New York,"4.6
stars",Missing,Health,[],Missing,Approx. 76 hours to complete,Missing,Missing
Teach English Now! Lesson Design and Assessment,Arizona State University,"4.9
stars",Missing,Social Sciences,[],Missing,Approx. 23 hours to complete,Missing,Missing
Leading Teams,University of Michigan,"4.8
stars",Missing,Business,"['Leadership Dynamics', 'Leadership', 'Management', 'Team Management']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Converter Circuits,University of Colorado Boulder,"4.8
stars",Missing,Physical Science and Engineering,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Managerial Accounting: Cost Behaviors, Systems, and Analysis",University of Illinois at Urbana-Champaign,"4.7
stars",Missing,Business,"['Management Accounting', 'Cost Accounting', 'Activity Based Costing', 'Cost']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Comunicaciones integradas de marketing: Publicidad, Relaciones Públicas, Marketing Digital y más",IE Business School,"4.7
stars",Missing,Business,"['Marketing', 'Social Media Marketing', 'Marketing Mix', 'Public Relations', 'Promotional Mix']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,Georgia Institute of Technology,"4.8
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 16 hours to complete,Missing,Missing
Integrated Analysis in Systems Biology,Icahn School of Medicine at Mount Sinai,"4.6
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Religion and Thought in Modern China: the Song, Jin, and Yuan",The Chinese University of Hong Kong,"4.7
stars",Missing,Arts and Humanities,[],Missing,Approx. 15 hours to complete,Missing,Missing
Academic Skills for University Success: Capstone,The University of Sydney,"4.9
stars",Missing,Social Sciences,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),"4.7
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 29 hours to complete,Missing,Missing
Essentials of Global Health,Yale University,"4.8
stars",Missing,Health,[],Missing,Approx. 56 hours to complete,Missing,Missing
English for Media Literacy,University of Pennsylvania,"4.9
stars",Missing,Language Learning,"['Grammar', 'Media Analysis', 'English Language', 'Media Literacy']",Missing,Approx. 40 hours to complete,Missing,Missing
User Research and Design,University of Minnesota,"4.6
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,"4.3
stars",Missing,Health,[],Missing,Approx. 20 hours to complete,Missing,Missing
The Music of the Beatles,University of Rochester,"4.7
stars",Missing,Arts and Humanities,[],Missing,Approx. 13 hours to complete,Missing,Missing
Global Financial Markets and Instruments,Rice University,"4.6
stars",Missing,Business,"['Bond Valuation', 'Financial Markets', 'Finance', 'Investment']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
How to Write a Resume (Project-Centered Course),The State University of New York,"4.5
stars",Missing,Personal Development,[],Missing,Approx. 6 hours to complete,Missing,Missing
Bacteria and Chronic Infections,University of Copenhagen,"4.6
stars",Missing,Health,"['Antimicrobial', 'Infection Control', 'Microbiology', 'Bacteriology']",Missing,Approx. 9 hours to complete,Missing,Missing
ممارسات التدريب,"University of California, Davis","4.7
stars",Missing,Business,[],Missing,Approx. 20 hours to complete,Missing,Missing
Usable Security,"University of Maryland, College Park","4.5
stars",Missing,Computer Science,"['Cybersecurity', 'Usability', 'Privacy', 'User Interface']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Wharton Business Foundations Capstone,University of Pennsylvania,"4.6
stars",Missing,Business,"['Financial Accounting', 'Accounting', 'Finance', 'Marketing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Internet of Things: Setting Up Your DragonBoard™ Development Platform,University of California San Diego,"4.2
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 16 hours to complete,Missing,Missing
Nearest Neighbor Collaborative Filtering,University of Minnesota,"4.2
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Quantitative Formal Modeling and Worst-Case Performance Analysis,EIT Digital ,"4.4
stars",Missing,Computer Science,[],Missing,Approx. 12 hours to complete,Missing,Missing
Introduction to Classical Music,Yale University,"4.9
stars",Missing,Arts and Humanities,"['Art History', 'Music', 'Chord', 'History']",Missing,Approx. 39 hours to complete,Missing,Missing
Calculus: Single Variable Part 4 - Applications,University of Pennsylvania,"4.9
stars",Missing,Math and Logic,[],Missing,"English
Subtitles: English",Missing,Missing
Advertising and Society,Duke University,"4.7
stars",Missing,Social Sciences,"['History Of Advertising', 'Advertising', 'Advertising Strategy', 'Advertising Techniques']",Missing,Approx. 11 hours to complete,Missing,Missing
La comunicación laboral en el siglo XXI,"University of California, Irvine","4.3
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Our Earth's Future,American Museum of Natural History,"4.7
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 7 hours to complete,Missing,Missing
Writing Professional Email and Memos (Project-Centered Course),University System of Georgia,"4.2
stars",Missing,Business,[],Missing,Approx. 26 hours to complete,Missing,Missing
Establishing a Professional ‘Self’ through Effective Intercultural Communication,National University of Singapore,"4.3
stars",Missing,Personal Development,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Robotics: Estimation and Learning,University of Pennsylvania,"4.3
stars",Missing,Physical Science and Engineering,"['Particle Filter', 'Estimation', 'Mapping']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
What future for education?,Missing,"4.6
stars",Missing,Social Sciences,[],Missing,Approx. 20 hours to complete,Missing,Missing
Preparing to Manage Human Resources,University of Minnesota,"4.8
stars",Missing,Business,"['Human Resources (HR)', 'Resource Management', 'Hr Strategy']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Foundations of Teaching for Learning: Introduction to Student Assessment,Commonwealth Education Trust,"4.7
stars",Missing,Social Sciences,[],Missing,Approx. 14 hours to complete,Missing,Missing
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,"4.5
stars",Missing,Social Sciences,[],Missing,Approx. 27 hours to complete,Missing,Missing
Sustainable Business Enterprises,University of Illinois at Urbana-Champaign,"4.4
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Competitive Strategy,Ludwig-Maximilians-Universität München (LMU),"4.7
stars",Missing,Business,"['Strategic Management', 'Game Theory', 'Competition (Economics)', 'Strategic Thinking']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Buddhism and Modern Psychology,Princeton University,"4.8
stars",Missing,Health,"['Philosophy', 'Psychology', 'Mindfulness', 'Meditation']",Missing,"English
Subtitles: English, Spanish, Hungarian",Missing,Missing
Wharton Business and Financial Modeling Capstone,University of Pennsylvania,"4.6
stars",Missing,Business,"['Summary Statistics', 'Financial Modeling', 'Diversification (Finance)', 'Investment']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Applications of Everyday Leadership,University of Illinois at Urbana-Champaign,"4.8
stars",Missing,Business,"['Performance Management', 'Change Management', 'conflict resolution', 'Leadership', 'Negotiation']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Modern and the Postmodern (Part 2),Wesleyan University,"4.7
stars",Missing,Arts and Humanities,[],Missing,Approx. 20 hours to complete,Missing,Missing
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,"3.3
stars",Missing,Computer Science,"['Web Design', 'Websites', 'Wordpress', 'Web Development']",Missing,Approx. 22 hours to complete,Missing,Missing
O Poder da Macroeconomia: princípios da economia no mundo real (em Português),"University of California, Irvine","4.7
stars",Missing,Social Sciences,[],Missing,Approx. 23 hours to complete,Missing,Missing
Business Analytics for Decision Making,University of Colorado Boulder,"4.5
stars",Missing,Data Science,"['Data Analysis', 'Simulation', 'Business Analytics', 'Mathematical Optimization']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Principles of Computing (Part 2),Rice University,"4.8
stars",Missing,Computer Science,"['Recursion', 'Algorithms', 'Python Programming', 'Tree (Data Structure)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
App Design and Development for iOS,University of Toronto,"4.1
stars",Missing,Computer Science,"['Persistence', 'iOS App Development', 'Core Data', 'User Interface']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Leer a Macondo: la obra de Gabriel García Márquez,Universidad de los Andes,"4.9
stars",Missing,Arts and Humanities,[],Missing,Approx. 21 hours to complete,Missing,Missing
Text Retrieval and Search Engines,University of Illinois at Urbana-Champaign,"4.4
stars",Missing,Data Science,"['Information Retrieval (IR)', 'Document Retrieval', 'Machine Learning', 'Recommender Systems']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,Georgia Institute of Technology,"4.8
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 16 hours to complete,Missing,Missing
Fundamentos del Emprendimiento: Pensamiento y Acción,"University of California, Irvine","4.6
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Types of Conflict,"University of California, Irvine","4.4
stars",Missing,Business,"['Assertiveness', 'Active Listening', 'Communication', 'Management']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Creating and Developing a Tech Startup,Missing,"4.1
stars",Missing,Business,"['Business Plan', 'Business Model', 'Innovation', 'Entrepreneurship']",Missing,Approx. 12 hours to complete,Missing,Missing
Web Design for Everybody Capstone,University of Michigan,"4.8
stars",Missing,Computer Science,"['Web Design', 'Html', 'JavaScript', 'Cascading Style Sheets (CCS)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Dairy Production and Management,The Pennsylvania State University,"4.8
stars",Missing,Health,"['Disease Control', 'Animal', 'Nutrition', 'Genetics']",Missing,Approx. 76 hours to complete,Missing,Missing
CAPSTONE: Your Leadership Challenge,HEC Paris,"4.5
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Write Like Mozart: An Introduction to Classical Music Composition,National University of Singapore,"4.9
stars",Missing,Arts and Humanities,[],Missing,Approx. 16 hours to complete,Missing,Missing
Introduction to Data Analytics for Business,University of Colorado Boulder,"4.6
stars",Missing,Data Science,"['Data Model', 'Data Quality', 'Data Analysis', 'SQL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Internet of Things V2: DragonBoard™ bring up and community ecosystem,University of California San Diego,"3.3
stars",Missing,Physical Science and Engineering,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
An Introduction to Interactive Programming in Python (Part 1),Rice University,"4.8
stars",Missing,Computer Science,"['Programming Principles', 'Python Syntax And Semantics', 'Computer Programming', 'Python Programming']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Managing ADHD, Autism, Learning Disabilities, and Concussion in School",University of Colorado System,"4.8
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Data Science in Real Life,Missing,"4.4
stars",Missing,Data Science,"['Statistics', 'Data Science', 'Data Analysis', 'Data Management']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Advanced Interviewing Techniques,"University of Maryland, College Park","4.7
stars",Missing,Language Learning,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Designing and Implementing Your Coaching Strategy,"University of California, Davis","4.6
stars",Missing,Business,[],Missing,Approx. 40 hours to complete,Missing,Missing
Sales Force Management,West Virginia University,"4.4
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The New Nordic Diet - from Gastronomy to Health,University of Copenhagen,"4.5
stars",Missing,Health,"['Nutrition', 'Plant', 'Public Health', 'Community Health']",Missing,Approx. 7 hours to complete,Missing,Missing
The Raspberry Pi Platform and Python Programming for the Raspberry Pi,"University of California, Irvine","4.6
stars",Missing,Computer Science,"['Computer Programming', 'Python Programming', 'Internet Of Things (IOT)', 'Raspberry Pi']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Principles of fMRI 2,Missing,"4.7
stars",Missing,Data Science,[],Missing,Approx. 8 hours to complete,Missing,Missing
مقاييس الأعمال للشركات التي تعتمد على البيانات,Duke University,Missing,Missing,Data Science,[],Missing,Approx. 9 hours to complete,Missing,Missing
Global Strategy I: How The Global Economy Works,University of Illinois at Urbana-Champaign,"4.9
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Music and Social Action,Yale University,"4.6
stars",Missing,Arts and Humanities,[],Missing,Approx. 30 hours to complete,Missing,Missing
Fundamentals of Digital Image and Video Processing,Northwestern University,"4.6
stars",Missing,Physical Science and Engineering,"['Image Processing', 'Data Compression', 'Matlab']",Missing,Approx. 33 hours to complete,Missing,Missing
Programming Mobile Applications for Android Handheld Systems: Part 1,"University of Maryland, College Park","4.6
stars",Missing,Computer Science,"['Android Studio', 'Android (Operating System) Software', 'Android Software Development', 'User Interface']",Missing,Approx. 29 hours to complete,Missing,Missing
Soul Beliefs: Causes and Consequences - Unit 3: How Does It All End?,Rutgers the State University of New Jersey,"4.4
stars",Missing,Health,[],Missing,Approx. 15 hours to complete,Missing,Missing
Statistics with R Capstone,Duke University,"4.7
stars",Missing,Data Science,"['Model Selection', 'Bayesian Statistics', 'Statistical Analysis', 'R Programming']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Health Care IT: Challenges and Opportunities,Icahn School of Medicine at Mount Sinai,"4.6
stars",Missing,Health,[],Missing,Approx. 9 hours to complete,Missing,Missing
Data Analytics Foundations for Accountancy II,University of Illinois at Urbana-Champaign,"4.7
stars",Missing,Data Science,[],Missing,Approx. 68 hours to complete,Missing,Missing
"Grow to Greatness: Smart Growth for Private Businesses, Part I",University of Virginia,"4.7
stars",Missing,Business,"['Planning', 'Entrepreneurship', 'Business Intelligence', 'Innovation', 'Strategic Management']",Missing,Approx. 9 hours to complete,Missing,Missing
Introduction to Spreadsheets and Models,University of Pennsylvania,"4.2
stars",Missing,Business,"['Monte Carlo Method', 'Microsoft Excel', 'Linear Programming (LP)', 'Solver']",Missing,Approx. 5 hours to complete,Missing,Missing
Fundamentals of Management,"University of California, Irvine","4.5
stars",Missing,Business,"['Management Theory', 'Management Styles', 'Leadership', 'Management']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Talmud: A Methodological Introduction,Northwestern University,"4.6
stars",Missing,Arts and Humanities,[],Missing,Approx. 12 hours to complete,Missing,Missing
Statistics for Genomic Data Science,Missing,"4.2
stars",Missing,Data Science,"['Statistics', 'Data Analysis', 'R Programming', 'Biostatistics']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Input and Interaction,University of California San Diego,"4.6
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
